Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"10107","","","None","192.168.0.119","tcp","80","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

Apache/2.2.22 (Debian)"
"10114","CVE-1999-0524","2.1","Low","192.168.0.119","icmp","0","ICMP Timestamp Request Remote Date Disclosure","It is possible to determine the exact time set on the remote host.","The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).","","The difference between the local and remote clocks is -33154 seconds.
"
"10223","CVE-1999-0632","0.0","None","192.168.0.119","udp","111","RPC portmapper Service Detection","An ONC RPC portmapper is running on the remote host.","The RPC portmapper is running on this port.

The portmapper allows someone to get the port number of each RPC
service running on the remote host by sending either multiple lookup
requests or a DUMP request.","n/a","",""
"10267","","","None","192.168.0.119","tcp","22","SSH Server Type and Version Information","An SSH server is listening on this port.","It is possible to obtain information about the remote SSH server by
sending an empty authentication request.","n/a","","
SSH version : SSH-2.0-OpenSSH_6.0p1 Debian-4+deb7u7
SSH supported authentication : publickey,password
"
"10287","","","None","192.168.0.119","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 192.168.0.108 to 192.168.0.119 : 
192.168.0.108
192.168.0.119

Hop Count: 1
"
"10302","","","None","192.168.0.119","tcp","80","Web Server robots.txt Information Disclosure","The remote web server contains a 'robots.txt' file.","The remote host contains a file named 'robots.txt' that is intended to
prevent web 'robots' from visiting certain directories in a website for
maintenance or indexing purposes.  A malicious user may also be able to
use the contents of this file to learn of sensitive documents or
directories on the affected site and either retrieve them directly or
target them for other attacks.","Review the contents of the site's robots.txt file, use Robots META tags
instead of entries in the robots.txt file, and/or adjust the web
server's access controls to limit access to sensitive material.","http://www.robotstxt.org/orig.html","Contents of robots.txt :

#
# robots.txt
#
# This file is to prevent the crawling and indexing of certain parts
# of your site by web crawlers and spiders run by sites like Yahoo!
# and Google. By telling these ""robots"" where not to go on your site,
# you save bandwidth and server resources.
#
# This file will be ignored unless it is at the root of your host:
# Used:    http://example.com/robots.txt
# Ignored: http://example.com/site/robots.txt
#
# For more information about the robots.txt standard, see:
# http://www.robotstxt.org/wc/robots.html
#
# For syntax checking, see:
# http://www.sxw.org.uk/computing/robots/check.html

User-agent: *
Crawl-delay: 10
# Directories
Disallow: /includes/
Disallow: /misc/
Disallow: /modules/
Disallow: /profiles/
Disallow: /scripts/
Disallow: /themes/
# Files
Disallow: /CHANGELOG.txt
Disallow: /cron.php
Disallow: /INSTALL.mysql.txt
Disallow: /INSTALL.pgsql.txt
Disallow: /INSTALL.sqlite.txt
Disallow: /install.php
Disallow: /INSTALL.txt
Disallow: /LICENSE.txt
Disallow: /MAINTAINERS.txt
Disallow: /update.php
Disallow: /UPGRADE.txt
Disallow: /xmlrpc.php
# Paths (clean URLs)
Disallow: /admin/
Disallow: /comment/reply/
Disallow: /filter/tips/
Disallow: /node/add/
Disallow: /search/
Disallow: /user/register/
Disallow: /user/password/
Disallow: /user/login/
Disallow: /user/logout/
# Paths (no clean URLs)
Disallow: /?q=admin/
Disallow: /?q=comment/reply/
Disallow: /?q=filter/tips/
Disallow: /?q=node/add/
Disallow: /?q=search/
Disallow: /?q=user/password/
Disallow: /?q=user/register/
Disallow: /?q=user/login/
Disallow: /?q=user/logout/
"
"10881","","","None","192.168.0.119","tcp","22","SSH Protocol Versions Supported","A SSH server is running on the remote host.","This plugin determines the versions of the SSH protocol supported by
the remote SSH daemon.","n/a","","The remote SSH daemon supports the following versions of the
SSH protocol :

  - 1.99
  - 2.0
"
"11111","","","None","192.168.0.119","tcp","111","RPC Services Enumeration","An ONC RPC service is running on the remote host.","By sending a DUMP request to the portmapper, it was possible to
enumerate the ONC RPC services running on the remote port.  Using this
information, it is possible to connect and bind to each service by
sending an RPC request to the remote port.","n/a","","
The following RPC services are available on TCP port 111 :

 - program: 100000 (portmapper), version: 4
 - program: 100000 (portmapper), version: 3
 - program: 100000 (portmapper), version: 2
"
"11111","","","None","192.168.0.119","tcp","55946","RPC Services Enumeration","An ONC RPC service is running on the remote host.","By sending a DUMP request to the portmapper, it was possible to
enumerate the ONC RPC services running on the remote port.  Using this
information, it is possible to connect and bind to each service by
sending an RPC request to the remote port.","n/a","","
The following RPC services are available on TCP port 55946 :

 - program: 100024 (status), version: 1
"
"11111","","","None","192.168.0.119","udp","111","RPC Services Enumeration","An ONC RPC service is running on the remote host.","By sending a DUMP request to the portmapper, it was possible to
enumerate the ONC RPC services running on the remote port.  Using this
information, it is possible to connect and bind to each service by
sending an RPC request to the remote port.","n/a","","
The following RPC services are available on UDP port 111 :

 - program: 100000 (portmapper), version: 4
 - program: 100000 (portmapper), version: 3
 - program: 100000 (portmapper), version: 2
"
"11111","","","None","192.168.0.119","udp","39804","RPC Services Enumeration","An ONC RPC service is running on the remote host.","By sending a DUMP request to the portmapper, it was possible to
enumerate the ONC RPC services running on the remote port.  Using this
information, it is possible to connect and bind to each service by
sending an RPC request to the remote port.","n/a","","
The following RPC services are available on UDP port 39804 :

 - program: 100024 (status), version: 1
"
"11219","","","None","192.168.0.119","tcp","22","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 22/tcp was found to be open"
"11219","","","None","192.168.0.119","tcp","80","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 80/tcp was found to be open"
"11219","","","None","192.168.0.119","tcp","111","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 111/tcp was found to be open"
"11936","","","None","192.168.0.119","tcp","0","OS Identification","It is possible to guess the remote operating system.","Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also possible sometimes to guess the version of
the operating system.","n/a","","
Remote operating system : Linux Kernel 3.2 on Debian 7.0 (wheezy)
Confidence level : 95
Method : SSH

 
The remote host is running Linux Kernel 3.2 on Debian 7.0 (wheezy)"
"18261","","","None","192.168.0.119","tcp","0","Apache Banner Linux Distribution Disclosure","The name of the Linux distribution running on the remote host was
found in the banner of the web server.","Nessus was able to extract the banner of the Apache web server and
determine which Linux distribution the remote host is running.","If you do not wish to display this information, edit 'httpd.conf' and
set the directive 'ServerTokens Prod' and restart Apache.","","
The Linux distribution detected was : 
 - Debian 7.0 (wheezy)
 - Debian unstable (sid)
 - Debian testing (wheezy)
"
"18638","","","None","192.168.0.119","tcp","80","Drupal Software Detection","A content management system is running on the remote web server.","Drupal, an open source content management system written in PHP, is
running on the remote web server.","Ensure that the use of this software aligns with your organization's
security and acceptable use policies.","https://www.drupal.org/","
  URL     : http://192.168.0.119/
  Version : 7
"
"19506","","","None","192.168.0.119","tcp","0","Nessus Scan Information","This plugin displays information about the Nessus scan.","This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - The ping round trip time 
  - Whether credentialed or third-party patch management
    checks are possible.
  - Whether the display of superseded patches is enabled
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.","n/a","","Information about this scan : 

Nessus version : 10.9.3
Nessus build : 20023
Plugin feed version : 202508200628
Scanner edition used : Nessus

ERROR: Your plugins have not been updated since 2025/8/20
Performing a scan with an older plugin set will yield out-of-date results and
produce an incomplete audit. Please run nessus-update-plugins to get the
newest vulnerability checks from Nessus.org.

Scanner OS : LINUX
Scanner distribution : ubuntu1604-x86-64
Scan type : Normal
Scan name : DC-1
Scan policy used : Advanced Scan
Scanner IP : 192.168.0.108
Port scanner(s) : nessus_syn_scanner 
Port range : default
Ping RTT : 120.413 ms
Thorough tests : no
Experimental tests : no
Scan for Unpatched Vulnerabilities : no
Plugin debugging enabled : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : yes
Credentialed checks : no
Patch management checks : None
Display superseded patches : yes (supersedence plugin did not launch)
CGI scanning : disabled
Web application tests : disabled
Max hosts : 100
Max checks : 5
Recv timeout : 5
Backports : Detected
Allow post-scan editing : Yes
Nessus Plugin Signature Checking : Enabled
Audit File Signature Checking : Disabled
Scan Start Date : 2026/2/20 8:18 UTC 
Scan duration : 579 sec
Scan for malware : no
"
"22964","","","None","192.168.0.119","tcp","22","Service Detection","The remote service could be identified.","Nessus was able to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.","n/a","","An SSH server is running on this port."
"22964","","","None","192.168.0.119","tcp","80","Service Detection","The remote service could be identified.","Nessus was able to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.","n/a","","A web server is running on this port."
"24260","","","None","192.168.0.119","tcp","80","HyperText Transfer Protocol (HTTP) Information","Some information about the remote HTTP configuration can be extracted.","This test gives some information about the remote HTTP protocol - the
version used, whether HTTP Keep-Alive is enabled, etc... 

This test is informational only and does not denote any security
problem.","n/a","","
Response Code : HTTP/1.1 200 OK

Protocol version : HTTP/1.1
HTTP/2 TLS Support: No
HTTP/2 Cleartext Support: No
SSL : no
Keep-Alive : yes
Options allowed : (Not implemented)
Headers :

  Date: Wed, 18 Feb 2026 17:35:58 GMT
  Server: Apache/2.2.22 (Debian)
  X-Powered-By: PHP/5.4.45-0+deb7u14
  Expires: Sun, 19 Nov 1978 05:00:00 GMT
  Last-Modified: Wed, 18 Feb 2026 17:35:58 +0000
  Cache-Control: no-cache, must-revalidate, post-check=0, pre-check=0
  ETag: ""1771436158""
  Content-Language: en
  X-Generator: Drupal 7 (http://drupal.org)
  Vary: Accept-Encoding
  Content-Length: 7606
  Keep-Alive: timeout=5, max=100
  Connection: Keep-Alive
  Content-Type: text/html; charset=utf-8
  
Response Body :

<!DOCTYPE html PUBLIC ""-//W3C//DTD XHTML+RDFa 1.0//EN""
  ""http://www.w3.org/MarkUp/DTD/xhtml-rdfa-1.dtd"">
<html xmlns=""http://www.w3.org/1999/xhtml"" xml:lang=""en"" version=""XHTML+RDFa 1.0"" dir=""ltr""
  xmlns:content=""http://purl.org/rss/1.0/modules/content/""
  xmlns:dc=""http://purl.org/dc/terms/""
  xmlns:foaf=""http://xmlns.com/foaf/0.1/""
  xmlns:og=""http://ogp.me/ns#""
  xmlns:rdfs=""http://www.w3.org/2000/01/rdf-schema#""
  xmlns:sioc=""http://rdfs.org/sioc/ns#""
  xmlns:sioct=""http://rdfs.org/sioc/types#""
  xmlns:skos=""http://www.w3.org/2004/02/skos/core#""
  xmlns:xsd=""http://www.w3.org/2001/XMLSchema#"">

<head profile=""http://www.w3.org/1999/xhtml/vocab"">
  <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"" />
<link rel=""shortcut icon"" href=""http://192.168.0.119/misc/favicon.ico"" type=""image/vnd.microsoft.icon"" />
<meta name=""Generator"" content=""Drupal 7 (http://drupal.org)"" />
  <title>Welcome to Drupal Site | Drupal Site</title>
  <style type=""text/css"" media=""all"">@import url(""http://192.168.0.119/modules/system/system.base.css?pn6csl"");
@import url(""http://192.168.0.119/modules/system/system.menus.css?pn6csl"");
@import url(""http://192.168.0.119/modules/system/system.messages.css?pn6csl"");
@import url(""http://192.168.0.119/modules/system/system.theme.css?pn6csl"");</style>
<style type=""text/css"" media=""all"">@import url(""http://192.168.0.119/modules/field/theme/field.css?pn6csl"");
@import url(""http://192.168.0.119/modules/node/node.css?pn6csl"");
@import url(""http://192.168.0.119/modules/search/search.css?pn6csl"");
@import url(""http://192.168.0.119/modules/user/user.css?pn6csl"");
@import url(""http://192.168.0.119/sites/all/modules/views/css/views.css?pn6csl"");</style>
<style type=""text/css"" media=""all"">@import url(""http://192.168.0.119/sites/all/modules/ctools/css/ctools.css?pn6csl"");</style>
<style type=""text/css"" media=""all"">@import url(""http://192.168.0.119/themes/bartik/css/layout.css?pn6csl"");
@import url(""http://192.168.0.119/themes/bartik/css/style.css?pn6csl"");
@import url(""http://192.168.0.119/themes/bartik/css/colors.css?pn6csl"");</style>
<style type=""text/css"" media=""print"">@import url(""http://192.168.0.119/themes/bartik/css/print.css?pn6csl"");</style>

<!--[if lte IE 7]>
<link type=""text/css"" rel=""stylesheet"" href=""http://192.168.0.119/themes/bartik/css/ie.css?pn6csl"" media=""all"" />
<![endif]-->

<!--[if IE 6]>
<link type=""text/css"" rel=""stylesheet"" href=""http://192.168.0.119/themes/bartik/css/ie6.css?pn6csl"" media=""all"" />
<![endif]-->
  <script type=""text/javascript"" src=""http://192.168.0.119/misc/jquery.js?v=1.4.4""></script>
<script type=""text/javascript"" src=""http://192.168.0.119/misc/jquery.once.js?v=1.2""></script>
<script type=""text/javascript"" src=""http://192.168.0.119/misc/drupal.js?pn6csl""></script>
<script type=""text/javascript"">
<!--//--><![CDATA[//><!--
jQuery.extend(Drupal.settings, {""basePath"":""\/"",""pathPrefix"":"""",""ajaxPageState"":{""theme"":""bartik"",""theme_token"":""0Wgzu2mqTb3ZG7bd8E4eHiK4SCG6RlOQD_0sQ4BG9A8"",""js"":{""misc\/jquery.js"":1,""misc\/jquery.once.js"":1,""misc\/drupal.js"":1},""css"":{""modules\/system\/system.base.css"":1,""modules\/system\/system.menus.css"":1,""modules\/system\/system.messages.css"":1,""modules\/system\/system.theme.css"":1,""modules\/field\/theme\/field.css"":1,""modules\/node\/node.css"":1,""modules\/search\/search.css"":1,""modules\/user\/user.css"":1,""sites\/all\/modules\/views\/css\/views.css"":1,""sites\/all\/modules\/ctools\/css\/ctools.css"":1,""themes\/bartik\/css\/layout.css"":1,""themes\/bartik\/css\/style.css"":1,""themes\/bartik\/css\/colors.css"":1,""themes\/bartik\/css\/print.css"":1,""themes\/bartik\/css\/ie.css"":1,""themes\/bartik\/css\/ie6.css"":1}}});
//--><!]]>
</script>
</head>
<body class=""html front not-logged-in one-sidebar sidebar-first page-node"" >
  <div id=""skip-link"">
    <a href=""#main-content"" class=""element-invisible element-focusable"">Skip to main content</a>
  </div>
    <div id=""page-wrapper""><div id=""page"">

  <div id=""header"" class=""without-secondary-menu""><div class=""section clearfix"">

          <a href=""/"" title=""Home"" rel=""home"" id=""logo"">
        <img src=""http://192.168.0.119/themes/bartik/logo.png"" alt=""Home"" />
      </a>
    
          <div id=""name-and-slogan"">

                              <div id=""site-name"">
              <strong>
                <a href=""/"" title=""Home"" rel=""home""><span>Drupal Site</span></a>
              </strong>
            </div>
                  
        
      </div> <!-- /#name-and-slogan -->
    
    
          <div id=""main-menu"" class=""navigation"">
        <h2 class=""element-invisible"">Main menu</h2><ul id=""main-menu-links"" class=""links clearfix""><li class=""menu-218 first last active""><a href=""/"" class=""active"">Home</a></li>
</ul>      </div> <!-- /#main-menu -->
    
    
  </div></div> <!-- /.section, /#header -->

  
  
  <div id=""main-wrapper"" class=""clearfix""><div id=""main"" class=""clearfix"">

    
          <div id=""sidebar-first"" class=""column sidebar""><div class=""section"">
          <div class=""region region-sidebar-first"">
    <div id=""block-user-login"" class=""block block-user"">

    <h2>User login</h2>
  
  <div class=""content"">
    <form action=""/node?destination=node"" method=""post"" id=""user-login-form"" accept-charset=""UTF-8""><div><div class=""form-item form-type-textfield form-item-name"">
  <label for=""edit-name"">Username <span class=""form-required"" title=""This field is required."">*</span></label>
 <input type=""text"" id=""edit-name"" name=""name"" value="""" size=""15"" maxlength=""60"" class=""form-text required"" />
</div>
<div class=""form-item form-type-password form-item-pass"">
  <label for=""edit-pass"">Password <span class=""form-required"" title=""This field is required."">*</span></label>
 <input type=""password"" id=""edit-pass"" name=""pass"" size=""15"" maxlength=""128"" class=""form-text required"" />
</div>
<div class=""item-list""><ul><li class=""first""><a href=""/user/register"" title=""Create a new user account."">Create new account</a></li>
<li class=""last""><a href=""/user/password"" title=""Request new password via e-mail."">Request new password</a></li>
</ul></div><input type=""hidden"" name=""form_build_id"" value=""form-NxjuCVg5--UTrZhl14oZTU5RX3eElcH5iLNnsxRBWwc"" />
<input type=""hidden"" name=""form_id"" value=""user_login_block"" />
<div class=""form-actions form-wrapper"" id=""edit-actions""><input type=""submit"" id=""edit-submit"" name=""op"" value=""Log in"" class=""form-submit"" /></div></div></form>  </div>
</div>
  </div>
      </div></div> <!-- /.section, /#sidebar-first -->
    
    <div id=""content"" class=""column""><div class=""section"">
            <a id=""main-content""></a>
                    <h1 class=""title"" id=""page-title"">
          Welcome to Drupal Site        </h1>
                          <div class=""tabs"">
                  </div>
                          <div class=""region region-content"">
    <div id=""block-system-main"" class=""block block-system"">

    
  <div class=""content"">
    <div id=""first-time""><p>No front page content has been created yet.</p></div>  </div>
</div>
  </div>
      
    </div></div> <!-- /.section, /#content -->

    
  </div></div> <!-- /#main, /#main-wrapper -->

  
  <div id=""footer-wrapper""><div class=""section"">

    
          <div id=""footer"" class=""clearfix"">
          <div class=""region region-footer"">
    <div id=""block-system-powered-by"" class=""block block-system"">

    
  <div class=""content"">
    <span>Powered by <a href=""http://drupal.org"">Drupal</a></span>  </div>
</div>
  </div>
      </div> <!-- /#footer -->
    
  </div></div> <!-- /.section, /#footer-wrapper -->

</div></div> <!-- /#page, /#page-wrapper -->
  </body>
</html>
"
"25220","","","None","192.168.0.119","tcp","0","TCP/IP Timestamps Supported","The remote service implements TCP timestamps.","The remote host implements TCP timestamps, as defined by RFC1323.  A
side effect of this feature is that the uptime of the remote host can
sometimes be computed.","n/a","http://www.ietf.org/rfc/rfc1323.txt",""
"35716","","","None","192.168.0.119","tcp","0","Ethernet Card Manufacturer Detection","The manufacturer can be identified from the Ethernet OUI.","Each ethernet MAC address starts with a 24-bit Organizationally 
Unique Identifier (OUI). These OUIs are registered by IEEE.","n/a","https://standards.ieee.org/faqs/regauth.html
http://www.nessus.org/u?794673b4","
The following card manufacturers were identified :

08:00:27:95:D1:B6 : PCS Systemtechnik GmbH
"
"39520","","","None","192.168.0.119","tcp","22","Backported Security Patch Detection (SSH)","Security patches are backported.","Security patches may have been 'backported' to the remote SSH server
without changing its version number. 

Banner-based checks have been disabled to avoid false positives. 

Note that this test is informational only and does not denote any
security problem.","n/a","https://access.redhat.com/security/updates/backporting/?sc_cid=3093","
Give Nessus credentials to perform local checks.
"
"39521","","","None","192.168.0.119","tcp","80","Backported Security Patch Detection (WWW)","Security patches are backported.","Security patches may have been 'backported' to the remote HTTP server
without changing its version number.

Banner-based checks have been disabled to avoid false positives.

Note that this test is informational only and does not denote any
security problem.","n/a","https://access.redhat.com/security/updates/backporting/?sc_cid=3093","
Give Nessus credentials to perform local checks.
"
